City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,69.46,49,0,8.05,clear sky
1,Bud,US,39.447,-86.1758,30.67,66,27,11.3,scattered clouds
2,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,80,37,15.05,scattered clouds
3,Vila Velha,BR,-20.3297,-40.2925,85.95,73,40,11.5,scattered clouds
4,Barrow,US,71.2906,-156.7887,-27.38,62,0,8.05,clear sky
5,Cabo San Lucas,MX,22.8909,-109.9124,75.51,60,0,4.79,clear sky
6,Vaini,TO,-21.2,-175.2,75.36,100,100,8.05,light rain
7,Hilo,US,19.7297,-155.09,67.8,82,100,6.91,overcast clouds
8,Kibala,TD,9.1104,18.3463,91.35,16,0,0.0,clear sky
9,Kapaa,US,22.0752,-159.319,71.19,59,19,1.01,few clouds
10,Banjarmasin,ID,-3.3244,114.591,75.34,93,100,0.78,overcast clouds
11,Chilca,PE,-12.5211,-76.7372,80.62,73,89,8.12,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,73.9,92,59,3.13,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,78.15,76,12,13.53,light rain
14,Cape Town,ZA,-33.9258,18.4232,74.26,71,0,16.11,clear sky
15,Atuona,PF,-9.8,-139.0333,78.4,76,26,18.16,light rain
16,Punta Arenas,CL,-53.15,-70.9167,60.82,87,100,5.75,light rain
17,Houma,US,29.5958,-90.7195,52.0,58,100,5.99,overcast clouds
18,Rocha,UY,-34.4833,-54.3333,71.4,59,71,16.53,broken clouds
19,Fortuna,US,40.5982,-124.1573,43.14,55,1,2.98,clear sky
20,Emerald,AU,-23.5333,148.1667,71.74,73,9,6.91,clear sky
21,Bluff,NZ,-46.6,168.3333,42.8,87,41,4.54,scattered clouds
22,Terney,RU,45.0503,136.6092,7.84,80,4,10.13,clear sky
23,Voskresenskoye,RU,56.8381,45.4317,17.01,96,97,5.53,overcast clouds
24,Nikolskoye,RU,59.7035,30.7861,34.88,98,100,6.33,snow
25,Ribeira Grande,PT,38.5167,-28.7,63.0,67,40,16.11,scattered clouds
26,Holme,DK,56.1138,10.1725,41.18,78,77,16.4,broken clouds
27,Lompoc,US,34.6391,-120.4579,76.14,55,0,3.44,clear sky
28,Esperance,AU,-33.8667,121.9,62.44,64,40,21.05,scattered clouds
29,Yellowknife,CA,62.456,-114.3525,-1.59,90,100,13.8,light snow
30,Cartagena,CO,10.3997,-75.5144,87.42,62,20,14.97,few clouds
31,Portage,US,41.1667,-81.1998,37.83,60,100,8.48,overcast clouds
32,Alyangula,AU,-13.8483,136.4192,75.07,100,95,3.44,overcast clouds
33,Morondava,MG,-20.2833,44.2833,81.43,82,100,21.52,light rain
34,Boende,CD,-0.2167,20.8667,82.15,32,42,3.15,scattered clouds
35,Tasiilaq,GL,65.6145,-37.6368,22.03,51,100,48.07,overcast clouds
36,Castro,BR,-24.7911,-50.0119,79.36,47,20,6.87,few clouds
37,Havre-Saint-Pierre,CA,50.2334,-63.5986,16.39,85,100,12.66,overcast clouds
38,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,10.36,scattered clouds
39,Bereda,ES,43.2686,-7.5406,51.87,96,19,5.12,few clouds
40,Westport,US,41.1415,-73.3579,38.89,94,100,6.91,light rain
41,Dingle,PH,10.9995,122.6711,75.25,90,11,8.55,few clouds
42,Severo-Kurilsk,RU,50.6789,156.125,29.66,95,95,5.5,light snow
43,San Jose,US,37.3394,-121.895,61.59,56,0,1.57,clear sky
44,Kodiak,US,57.79,-152.4072,26.11,74,100,4.61,overcast clouds
45,Quelimane,MZ,-17.8786,36.8883,78.75,89,75,3.44,broken clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,62,75,6.91,thunderstorm
47,Torbay,CA,47.6666,-52.7314,21.27,70,75,10.36,broken clouds
48,Sorong,ID,-0.8833,131.25,78.96,81,52,3.89,light rain
49,Calama,CL,-22.4667,-68.9333,77.49,9,20,21.85,few clouds
50,Kattivakkam,IN,13.2167,80.3167,80.08,76,91,7.94,overcast clouds
51,Namatanai,PG,-3.6667,152.4333,80.11,82,100,4.38,light rain
52,Mataura,NZ,-46.1927,168.8643,41.49,98,7,1.86,clear sky
53,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.57,79,99,1.1,overcast clouds
54,Kaitangata,NZ,-46.2817,169.8464,45.43,96,25,2.91,scattered clouds
55,Mount Gambier,AU,-37.8333,140.7667,62.51,59,0,8.05,clear sky
56,Albany,US,42.6001,-73.9662,39.61,75,100,5.75,overcast clouds
57,Upernavik,GL,72.7868,-56.1549,-7.29,95,100,9.91,light snow
58,Bredasdorp,ZA,-34.5322,20.0403,72.72,73,83,6.91,broken clouds
59,Carnarvon,AU,-24.8667,113.6333,73.47,64,0,18.41,clear sky
60,Aquiraz,BR,-3.9014,-38.3911,86.09,69,47,9.89,scattered clouds
61,Hithadhoo,MV,-0.6,73.0833,82.62,70,97,17.29,overcast clouds
62,Chokurdakh,RU,70.6333,147.9167,-45.44,100,94,4.85,overcast clouds
63,Saint-Philippe,RE,-21.3585,55.7679,78.39,89,100,11.92,light rain
64,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,12.66,scattered clouds
65,Mount Isa,AU,-20.7333,139.5,73.17,83,100,5.75,overcast clouds
66,Kalmunai,LK,7.4167,81.8167,77.31,82,100,9.78,overcast clouds
67,Airai,TL,-8.9266,125.4092,60.96,91,98,1.57,overcast clouds
68,Chauk,MM,20.8833,94.8167,65.64,39,2,2.39,clear sky
69,Bengkulu,ID,-3.8004,102.2655,75.47,87,71,6.85,broken clouds
70,Lapeer,US,43.0514,-83.3188,32.07,80,100,9.22,overcast clouds
71,Avarua,CK,-21.2078,-159.775,78.85,83,40,17.27,scattered clouds
72,Cidreira,BR,-30.1811,-50.2056,78.06,46,0,16.04,clear sky
73,Calbuco,CL,-41.768,-73.1273,72.61,70,31,7.25,scattered clouds
74,Provideniya,RU,64.3833,-173.3,-14.84,77,1,12.57,clear sky
75,Port Hardy,CA,50.6996,-127.4199,45.75,93,75,4.61,light intensity shower rain
76,Mareeba,AU,-17.0,145.4333,69.44,90,67,1.25,broken clouds
77,Bandarbeyla,SO,9.4942,50.8122,75.67,68,23,19.44,few clouds
78,Walvis Bay,NA,-22.9575,14.5053,83.35,54,95,12.66,light rain
79,Bethel,US,41.3712,-73.414,37.17,88,100,4.61,light snow
80,Kamaishi,JP,39.2667,141.8833,29.28,72,62,5.12,broken clouds
81,Busselton,AU,-33.65,115.3333,59.04,84,87,5.23,overcast clouds
82,Robertson,US,36.5167,-86.8667,50.11,61,0,3.44,clear sky
83,Jamestown,US,42.097,-79.2353,38.52,55,0,12.66,clear sky
84,Touros,BR,-5.1989,-35.4608,88.7,57,31,14.99,scattered clouds
85,Ponta Do Sol,PT,32.6667,-17.1,66.13,59,20,11.5,few clouds
86,Anqing,CN,30.5092,117.0506,33.19,99,96,5.03,overcast clouds
87,Muros,ES,42.7762,-9.0603,60.1,70,11,9.75,few clouds
88,Robertsport,LR,6.7533,-11.3686,82.11,77,86,11.05,overcast clouds
89,Lagoa,PT,39.05,-27.9833,58.98,71,1,12.37,clear sky
90,Kavaratti,IN,10.5669,72.642,78.4,71,40,10.83,scattered clouds
91,Jalu,LY,29.0331,21.5482,62.8,25,36,2.55,scattered clouds
92,Iida,JP,35.5197,137.8207,30.47,84,88,2.28,snow
93,Granada,ES,37.25,-3.25,58.95,44,1,2.26,clear sky
94,Krokos,GR,40.2667,21.8167,50.13,46,96,9.22,overcast clouds
95,Mgandu,TZ,-5.95,34.1333,58.3,95,96,1.03,overcast clouds
96,Broome,US,42.2506,-75.833,39.33,63,100,4.0,overcast clouds
97,Bubaque,GW,11.2833,-15.8333,77.76,69,58,15.1,broken clouds
98,Georgetown,MY,5.4112,100.3354,80.53,95,20,0.0,few clouds
99,Longyearbyen,SJ,78.2186,15.6401,17.44,86,100,3.44,light snow
100,Codrington,AU,-38.2667,141.9667,59.43,69,0,9.78,clear sky
101,Gat,IL,31.61,34.7642,57.88,100,2,3.06,clear sky
102,Pevek,RU,69.7008,170.3133,-28.39,99,46,3.18,scattered clouds
103,Kichera,RU,55.9375,110.0997,10.89,96,100,2.68,light snow
104,Hay River,CA,60.8156,-115.7999,1.38,78,100,5.75,light snow
105,Fomboni,KM,-12.28,43.7425,83.44,77,90,8.41,overcast clouds
106,Mbanza-Ngungu,CD,-5.25,14.8667,72.1,85,66,3.4,light rain
107,Fare,PF,-16.7,-151.0167,81.32,76,100,19.95,overcast clouds
108,Hobart,AU,-42.8794,147.3294,59.25,81,10,4.61,clear sky
109,Puerto Ayora,EC,-0.7393,-90.3518,80.56,66,9,11.9,clear sky
110,Forbes,AU,-33.3833,148.0167,59.92,70,5,7.31,clear sky
111,Aklavik,CA,68.2191,-135.0107,-29.2,62,75,11.5,broken clouds
112,Geraldton,AU,-28.7667,114.6,63.01,67,0,13.8,clear sky
113,Vanavara,RU,60.34,102.2797,-6.54,95,98,6.78,overcast clouds
114,Algiers,DZ,36.7525,3.042,55.22,77,20,8.05,few clouds
115,Port Augusta,AU,-32.5,137.7667,77.14,30,7,8.03,clear sky
116,Madang,PG,-5.2246,145.7966,76.26,93,99,4.81,overcast clouds
117,Mar Del Plata,AR,-38.0023,-57.5575,68.02,70,75,18.41,broken clouds
118,Launceston,AU,-41.45,147.1667,58.64,72,75,3.44,broken clouds
119,Maceio,BR,-9.6658,-35.7353,89.04,51,20,16.11,few clouds
120,Gouloure,BF,12.2306,-1.9289,89.33,11,0,7.72,clear sky
121,Portland,US,45.5234,-122.6762,47.25,91,98,8.01,overcast clouds
122,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,93,100,41.43,overcast clouds
123,Victoria,HK,22.2855,114.1577,65.95,85,96,5.01,overcast clouds
124,Montlucon,FR,46.3333,2.6,40.69,72,7,1.61,clear sky
125,Telma,RU,52.6983,103.7097,18.61,97,100,1.68,light snow
126,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,-8.48,100,54,4.68,broken clouds
127,Manggar,ID,-2.8833,108.2667,78.58,87,100,7.05,overcast clouds
128,Dikson,RU,73.5069,80.5464,-3.14,93,100,27.07,overcast clouds
129,Beloha,MG,-25.1667,45.05,82.0,61,100,19.48,overcast clouds
130,Qaanaaq,GL,77.484,-69.3632,2.19,73,100,7.54,overcast clouds
131,Souillac,MU,-20.5167,57.5167,79.18,83,75,5.75,broken clouds
132,Novikovo,RU,51.1537,37.8879,33.51,98,100,12.91,light snow
133,Lugoba,TZ,-6.45,38.3333,73.27,85,100,4.09,overcast clouds
134,Saint George,US,37.1041,-113.5841,55.35,33,0,6.91,clear sky
135,College,US,64.8569,-147.8028,-2.25,76,100,0.0,light snow
136,Marsa Matruh,EG,31.3525,27.2453,59.2,67,0,0.0,clear sky
137,Butaritari,KI,3.0707,172.7902,81.79,75,88,16.98,overcast clouds
138,Karratha,AU,-20.7377,116.8463,82.67,78,94,1.88,overcast clouds
139,Redlands,US,34.0556,-117.1825,72.97,18,0,1.9,clear sky
140,Dubbo,AU,-32.25,148.6167,57.33,82,2,11.5,clear sky
141,New Norfolk,AU,-42.7826,147.0587,58.91,66,8,1.63,clear sky
142,Evensk,RU,61.95,159.2333,-1.62,66,64,9.1,broken clouds
143,Sambava,MG,-14.2667,50.1667,79.41,85,100,2.06,overcast clouds
144,Port Alfred,ZA,-33.5906,26.891,74.62,91,21,11.43,few clouds
145,Srednekolymsk,RU,67.45,153.6833,-40.95,100,61,4.92,broken clouds
146,La Ronge,CA,55.1001,-105.2842,32.25,59,40,4.61,scattered clouds
147,Shache,CN,38.4167,77.2406,26.78,53,63,4.83,broken clouds
148,Swan Hill,AU,-35.3378,143.5544,66.79,36,0,7.74,clear sky
149,Alvaraes,BR,-3.2208,-64.8042,87.67,80,100,4.92,overcast clouds
150,Surt,LY,31.2089,16.5887,61.29,65,99,7.0,overcast clouds
151,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,99,2.3,mist
152,Beyneu,KZ,45.3167,55.2,32.97,96,96,6.76,overcast clouds
153,Bilma,NE,18.6853,12.9164,68.83,10,0,10.29,clear sky
154,Lorengau,PG,-2.0226,147.2712,81.01,81,100,5.5,overcast clouds
155,Sao Filipe,CV,14.8961,-24.4956,73.0,74,1,7.25,clear sky
156,Kisangani,CD,0.5167,25.2,79.56,32,39,2.44,scattered clouds
157,Lebu,CL,-37.6167,-73.65,66.15,73,6,14.67,clear sky
158,Narsaq,GL,60.9167,-46.05,8.08,54,100,31.65,overcast clouds
159,Vardo,NO,70.3705,31.1107,25.0,86,40,17.27,scattered clouds
160,Kruisfontein,ZA,-34.0033,24.7314,65.88,55,77,3.22,broken clouds
161,Kholmogory,RU,64.2229,41.656,17.71,96,74,5.99,broken clouds
162,Yurty,RU,56.0498,97.6348,11.19,94,100,7.11,overcast clouds
163,Itaunja,IN,27.0833,80.9167,57.18,67,0,3.13,clear sky
164,Gospic,HR,44.5461,15.3747,42.49,61,17,13.42,few clouds
165,Gemena,CD,3.25,19.7667,78.15,25,24,2.89,few clouds
166,Cuiluan,CN,47.72,128.648,-5.35,100,81,2.24,broken clouds
167,Tuatapere,NZ,-46.1333,167.6833,41.83,87,2,4.27,clear sky
168,Awjilah,LY,29.1081,21.2869,62.87,25,45,3.09,scattered clouds
169,Arcos De La Frontera,ES,36.7508,-5.8106,65.03,61,1,5.99,clear sky
170,General Roca,AR,-39.0333,-67.5833,86.4,15,0,15.97,clear sky
171,Khatanga,RU,71.9667,102.5,-23.89,99,99,8.57,overcast clouds
172,Maniitsoq,GL,65.4167,-52.9,2.03,86,100,17.4,overcast clouds
173,Auki,SB,-8.7676,160.7034,79.09,88,100,7.94,overcast clouds
174,Namibe,AO,-15.1961,12.1522,74.03,75,67,12.01,broken clouds
175,Muisne,EC,0.6,-80.0333,75.31,72,82,6.11,broken clouds
176,Avera,US,33.194,-82.5271,43.75,71,100,7.78,overcast clouds
177,East London,ZA,-33.0153,27.9116,76.14,88,0,12.66,clear sky
178,Luderitz,NA,-26.6481,15.1594,76.21,63,5,8.1,clear sky
179,Asau,RO,46.4333,26.4,45.52,75,100,3.51,overcast clouds
180,Orsha,BY,54.5153,30.4053,32.9,86,96,9.75,overcast clouds
181,Cherskiy,RU,68.75,161.3,-33.97,100,41,2.17,scattered clouds
182,Birin,NP,26.8865,88.0718,43.0,81,82,1.05,broken clouds
183,Mahanje,TZ,-9.9333,35.3333,64.81,95,98,3.83,light rain
184,Kyshtovka,RU,56.555,76.6271,3.69,94,31,8.41,scattered clouds
185,Katsuura,JP,35.1333,140.3,42.19,55,66,6.82,broken clouds
186,Kahone,SN,14.15,-16.0333,104.27,10,0,6.91,clear sky
187,Bethal,ZA,-26.4579,29.4655,60.55,71,83,6.6,broken clouds
188,Udachnyy,RU,66.4167,112.4,-21.78,100,99,4.65,overcast clouds
189,Tiksi,RU,71.6872,128.8694,-24.0,99,85,6.78,overcast clouds
190,Hovd,MN,48.0056,91.6419,-12.37,74,6,2.82,clear sky
191,Saldanha,ZA,-33.0117,17.9442,75.25,94,35,13.69,scattered clouds
192,Yuanping,CN,38.7153,112.7575,25.68,34,18,3.47,few clouds
193,Trelleborg,SE,55.3751,13.1569,40.95,79,17,19.89,few clouds
194,Coihaique,CL,-45.5752,-72.0662,77.61,31,0,11.5,clear sky
195,Waipawa,NZ,-41.4122,175.5153,59.63,96,100,4.85,overcast clouds
196,Sungaipenuh,ID,-2.0833,101.3833,63.57,88,98,1.83,overcast clouds
197,Gravdal,NO,68.1214,13.5031,28.29,100,40,4.61,scattered clouds
198,Leningradskiy,RU,69.3833,178.4167,-29.63,98,19,5.1,few clouds
199,Levelland,US,33.5873,-102.378,45.19,29,3,6.78,clear sky
200,Kargasok,RU,59.0556,80.8572,-9.2,100,36,4.63,scattered clouds
201,Bowen,AU,-20.0167,148.2333,70.02,76,79,9.48,broken clouds
202,Alekseyevsk,RU,57.8406,108.3492,9.39,97,100,4.9,light snow
203,Fukue,JP,32.6881,128.8419,43.36,64,100,9.73,light rain
204,Port Elizabeth,ZA,-33.918,25.5701,71.89,78,0,5.75,clear sky
205,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,5.75,light rain
206,Taua,BR,-5.9667,-40.3,91.42,35,85,5.88,overcast clouds
207,Champerico,GT,14.3,-91.9167,90.14,60,18,8.48,few clouds
208,Thurles,IE,52.6819,-7.8022,51.98,82,100,16.13,overcast clouds
209,Nantucket,US,41.2835,-70.0995,46.96,86,100,12.82,overcast clouds
210,Chapleau,CA,47.8405,-83.4034,10.49,79,100,8.05,overcast clouds
211,Lasa,IT,46.6166,10.7002,40.91,94,72,9.28,broken clouds
212,Tautira,PF,-17.7333,-149.15,80.62,75,100,19.08,overcast clouds
213,Baghdad,IQ,33.3406,44.4009,55.31,41,0,4.61,clear sky
214,Mwinilunga,ZM,-11.7358,24.4293,63.61,95,100,3.87,overcast clouds
215,Kupang,ID,-10.1667,123.5833,78.49,84,97,3.09,overcast clouds
216,Nome,US,64.5011,-165.4064,-23.58,94,7,8.19,clear sky
217,Metro,ID,-5.1131,105.3067,75.22,89,95,3.4,overcast clouds
218,Vanderhoof,CA,54.0166,-124.0198,39.38,70,81,18.68,broken clouds
219,Guerrero Negro,MX,27.9769,-114.0611,68.09,26,0,2.8,clear sky
220,Ilulissat,GL,69.2167,-51.1,10.42,67,100,20.71,overcast clouds
221,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,72,71,8.03,broken clouds
222,Comodoro Rivadavia,AR,-45.8667,-67.5,89.46,19,0,12.66,clear sky
223,Port Blair,IN,11.6667,92.75,78.84,78,40,8.05,mist
224,Mahebourg,MU,-20.4081,57.7,79.09,83,75,5.75,broken clouds
225,Sangar,RU,63.9242,127.4739,-31.85,99,100,1.72,overcast clouds
226,Sola,VU,-13.8833,167.55,82.06,85,100,28.45,overcast clouds
227,Salalah,OM,17.0151,54.0924,73.17,27,4,12.55,clear sky
228,At-Bashi,KG,41.1702,75.8106,10.13,71,96,3.78,overcast clouds
229,Rio Grande,BR,-32.035,-52.0986,80.71,54,13,19.19,few clouds
